Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
40 Jerarquia y Colas,Chrome 114.0.0.0,,,2023-07-11 12:08:01,2023-07-11 12:08:47,"45,571s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/40 Jerarquia y Colas,Chrome 114.0.0.0,,,2023-07-11 12:08:01,2023-07-11 12:08:47,"45,349s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/39 Modelo de atencion""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 12:08:02,2023-07-11 12:08:28,"25,995s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/0Principal/img_1Jerarquia y colas""))",Chrome 114.0.0.0,,,2023-07-11 12:08:28,2023-07-11 12:08:29,"0,949s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:08:29,2023-07-11 12:08:32,"3,012s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/1Jerarquia y Colas/2Configuracion/1Nodos y elementos/1Niveles/option_1Area""))",Chrome 114.0.0.0,Niveles,,2023-07-11 12:08:32,2023-07-11 12:08:32,"0,489s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:08:32,2023-07-11 12:08:35,"3,005s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/1Jerarquia y Colas/2Configuracion/1Nodos y elementos/2Elementos/td_1General (G)""))",Chrome 114.0.0.0,Elementos,,2023-07-11 12:08:35,2023-07-11 12:08:36,"0,469s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:08:36,2023-07-11 12:08:39,"3,012s",PASSED
"scrollToElement(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/1Jerarquia y Colas/2Configuracion/1Nodos y elementos/2Elementos/Edicion/img_Nuevo""), 0)",Chrome 114.0.0.0,,,2023-07-11 12:08:39,2023-07-11 12:08:39,"0,419s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/1Jerarquia y Colas/2Configuracion/1Nodos y elementos/3Nodos/img_Nuevo""))",Chrome 114.0.0.0,Agregar Nodo,,2023-07-11 12:08:39,2023-07-11 12:08:40,"0,897s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:08:40,2023-07-11 12:08:43,"3,004s",PASSED
takeFullPageScreenshot(),Chrome 114.0.0.0,,,2023-07-11 12:08:43,2023-07-11 12:08:44,"0,783s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:08:44,2023-07-11 12:08:47,"3,013s",PASSED
Start listener action : sampleAfterTestCase,Chrome 114.0.0.0,,,2023-07-11 12:08:47,2023-07-11 12:08:47,"0,000s",PASSED
