Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
70 Usuarios por perfil,Chrome 129.0.0.0,,,2024-10-03 18:02:37,2024-10-03 18:03:20,"42,449s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/70 Usuario por perfil,Chrome 129.0.0.0,,,2024-10-03 18:02:37,2024-10-03 18:03:20,"42,152s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/5 Usuarios""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,2024-10-03 18:02:38,2024-10-03 18:03:01,"23,144s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/0Principal/img_6Usuario por Perfil""))",Chrome 129.0.0.0,,,2024-10-03 18:03:01,2024-10-03 18:03:02,"0,625s",PASSED
delay(3),Chrome 129.0.0.0,,,2024-10-03 18:03:02,2024-10-03 18:03:05,"3,007s",PASSED
"selectOptionByIndex(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/6Usuario por perfil/select_Perfiles""), 1)",Chrome 129.0.0.0,EScogerá el select con el indice 1,,2024-10-03 18:03:05,2024-10-03 18:03:06,"1,055s",PASSED
delay(3),Chrome 129.0.0.0,,,2024-10-03 18:03:06,2024-10-03 18:03:09,"3,012s",PASSED
takeFullPageScreenshot(),Chrome 129.0.0.0,,,2024-10-03 18:03:09,2024-10-03 18:03:09,"0,442s",PASSED
delay(3),Chrome 129.0.0.0,,,2024-10-03 18:03:09,2024-10-03 18:03:12,"3,006s",PASSED
"selectOptionByIndex(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/6Usuario por perfil/select_Perfiles""), 0)",Chrome 129.0.0.0,EScogerá el select con el indice 1,,2024-10-03 18:03:12,2024-10-03 18:03:13,"1,016s",PASSED
delay(3),Chrome 129.0.0.0,,,2024-10-03 18:03:13,2024-10-03 18:03:16,"3,010s",PASSED
takeFullPageScreenshot(),Chrome 129.0.0.0,,,2024-10-03 18:03:16,2024-10-03 18:03:17,"0,434s",PASSED
delay(3),Chrome 129.0.0.0,,,2024-10-03 18:03:17,2024-10-03 18:03:20,"3,004s",PASSED
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,2024-10-03 18:03:20,2024-10-03 18:03:20,"0,000s",PASSED
