Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3.4a Agregar arbol a Subservicios Informacion,Chrome 122.0.0.0,,,2024-03-11 09:55:22,2024-03-11 09:56:21,"59,275s",PASSED
,,,,,,,
Test Cases/WIZARD/1Modelo De Negocio/3.4a Agregar arbol a SubServicios Informacion,Chrome 122.0.0.0,,,2024-03-11 09:55:22,2024-03-11 09:56:21,"59,021s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,2024-03-11 09:55:22,2024-03-11 09:55:36,"13,733s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_ModeloDeNegocioMAX""))",Chrome 122.0.0.0,,,2024-03-11 09:55:36,2024-03-11 09:55:37,"0,465s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 09:55:37,2024-03-11 09:55:40,"3,010s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/input_cajaBusqueda""), ""Información"")",Chrome 122.0.0.0,Buscamos el Servicio Información General,,2024-03-11 09:55:40,2024-03-11 09:55:40,"0,872s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 09:55:40,2024-03-11 09:55:43,"3,012s",PASSED
"rightClick(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/7 General Informacion/span_7 Informacion""))",Chrome 122.0.0.0,,,2024-03-11 09:55:43,2024-03-11 09:55:44,"0,618s",PASSED
"mouseOver(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/7 General Informacion/span_Elemento""))",Chrome 122.0.0.0,,,2024-03-11 09:55:44,2024-03-11 09:55:45,"0,776s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 09:55:45,2024-03-11 09:55:47,"2,020s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/7 General Informacion/span_Elemento(1)/span_Agregar Elementos""))",Chrome 122.0.0.0,,,2024-03-11 09:55:47,2024-03-11 09:55:47,"0,496s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 09:55:47,2024-03-11 09:55:50,"3,014s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/7 General Informacion/span_Elemento(1)/span_Agregar Elementos(1)/servicios/label_0 Actualizacion de Datos""))",Chrome 122.0.0.0,,,2024-03-11 09:55:50,2024-03-11 09:55:51,"0,415s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/7 General Informacion/span_Elemento(1)/span_Agregar Elementos(1)/servicios/label_3 Facturacion""))",Chrome 122.0.0.0,,,2024-03-11 09:55:51,2024-03-11 09:55:51,"0,419s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/7 General Informacion/span_Elemento(1)/span_Agregar Elementos(1)/servicios/label_5 Inscripciones""))",Chrome 122.0.0.0,,,2024-03-11 09:55:51,2024-03-11 09:55:52,"0,419s",PASSED
