Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.2 Crear WorkFlow - Sala General,Chrome 123.0.0.0,,,2024-04-02 14:56:49,2024-04-02 14:57:42,"53,803s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/2Salas/5.2 Crear WorkFlow - Sala General,Chrome 123.0.0.0,,,2024-04-02 14:56:49,2024-04-02 14:57:42,"53,569s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-02 14:56:49,2024-04-02 14:57:01,"11,990s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 123.0.0.0,,,2024-04-02 14:57:01,2024-04-02 14:57:02,"0,646s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:57:02,2024-04-02 14:57:05,"3,001s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Salas""))",Chrome 123.0.0.0,,,2024-04-02 14:57:05,2024-04-02 14:57:06,"0,822s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:57:06,2024-04-02 14:57:09,"3,022s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/btn_SeleccionarOficina""))",Chrome 123.0.0.0,Se escoge oficina WorkFlow para crear WorkFlow - Sala Entrega Documentos,,2024-04-02 14:57:09,2024-04-02 14:57:09,"0,464s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-02 14:57:09,2024-04-02 14:57:11,"2,004s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/btn_Seleccionar Oficina(1)/a_WorkFlow - Oficina WorkFlow""))",Chrome 123.0.0.0,,,2024-04-02 14:57:11,2024-04-02 14:57:12,"0,498s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-02 14:57:12,2024-04-02 14:57:14,"2,013s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_Nombre""), ""WorkFlow - Sala General"")",Chrome 123.0.0.0,,,2024-04-02 14:57:14,2024-04-02 14:57:14,"0,855s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/textarea_Descripcion""), ""WorkFlow - Sala General"")",Chrome 123.0.0.0,,,2024-04-02 14:57:14,2024-04-02 14:57:15,"0,832s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_MaximoOcupacion""), ""100"")",Chrome 123.0.0.0,,,2024-04-02 14:57:15,2024-04-02 14:57:16,"0,783s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_Tiempo de Abandono HH""), ""4"")",Chrome 123.0.0.0,,,2024-04-02 14:57:16,2024-04-02 14:57:17,"0,750s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Label/label_Habilitar Agendamiento""), 2)",Chrome 123.0.0.0,,,2024-04-02 14:57:17,2024-04-02 14:57:17,"0,390s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:57:17,2024-04-02 14:57:20,"3,012s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Promesa de Espera/input_Minutos promesa de espera""), ""10"")",Chrome 123.0.0.0,,,2024-04-02 14:57:20,2024-04-02 14:57:21,"0,783s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Promesa de atencion/input_Minutos Promesa Atencion""), ""5"")",Chrome 123.0.0.0,,,2024-04-02 14:57:21,2024-04-02 14:57:22,"0,788s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Label/label_Habilitar Agendamiento""))",Chrome 123.0.0.0,,,2024-04-02 14:57:22,2024-04-02 14:57:22,"0,442s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:57:22,2024-04-02 14:57:25,"3,008s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/AgendamientoLlamado/Intervalo creacion/input_Minutos Intervalo Creacion""), ""2"")",Chrome 123.0.0.0,,,2024-04-02 14:57:25,2024-04-02 14:57:26,"0,810s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/AgendamientoLlamado/Tiempo Limite Creacion/input_Minutos Tiempo Limite Creacion""), ""2"")",Chrome 123.0.0.0,,,2024-04-02 14:57:26,2024-04-02 14:57:27,"0,837s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Label/label_Paso a distraido""))",Chrome 123.0.0.0,,,2024-04-02 14:57:27,2024-04-02 14:57:27,"0,410s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:57:27,2024-04-02 14:57:30,"3,005s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Distraidos/Tiempo Automatico a distraido/input_Tiempo automatico a distrado MM""), ""1"")",Chrome 123.0.0.0,,,2024-04-02 14:57:30,2024-04-02 14:57:31,"0,866s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Distraidos/Tiempo de Rellamado/input_Tiempo de Rellamado MM""), ""1"")",Chrome 123.0.0.0,,,2024-04-02 14:57:31,2024-04-02 14:57:32,"0,801s",PASSED
"scrollToPosition(0, 0)",Chrome 123.0.0.0,,,2024-04-02 14:57:32,2024-04-02 14:57:32,"0,039s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:57:32,2024-04-02 14:57:35,"3,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/img_Nuevo""))",Chrome 123.0.0.0,,,2024-04-02 14:57:35,2024-04-02 14:57:36,"0,473s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:57:36,2024-04-02 14:57:39,"3,018s",PASSED
takeFullPageScreenshot(),Chrome 123.0.0.0,,,2024-04-02 14:57:39,2024-04-02 14:57:39,"0,879s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:57:39,2024-04-02 14:57:42,"3,015s",PASSED
Start listener action : sampleAfterTestCase,Chrome 123.0.0.0,,,2024-04-02 14:57:42,2024-04-02 14:57:42,"0,000s",PASSED
