Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3.4c Agregar arbol a SubServicios PQRS,Chrome 120.0.0.0,,,2024-01-15 09:28:51,2024-01-15 09:29:48,"56,919s",PASSED
,,,,,,,
Test Cases/WIZARD/1Modelo De Negocio/3.4c Agregar arbol a SubServicios PQRS,Chrome 120.0.0.0,,,2024-01-15 09:28:51,2024-01-15 09:29:48,"56,682s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-15 09:28:51,2024-01-15 09:29:03,"11,312s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_ModeloDeNegocioMAX""))",Chrome 120.0.0.0,,,2024-01-15 09:29:03,2024-01-15 09:29:03,"0,725s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:29:03,2024-01-15 09:29:07,"3,021s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/input_cajaBusqueda""), ""PQRS"")",Chrome 120.0.0.0,Buscamos el Servicio PQRS General,,2024-01-15 09:29:07,2024-01-15 09:29:07,"0,756s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:29:07,2024-01-15 09:29:10,"3,007s",PASSED
"rightClick(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/8 General PQRS/span_8 PQRS""))",Chrome 120.0.0.0,,,2024-01-15 09:29:10,2024-01-15 09:29:11,"0,562s",PASSED
"mouseOver(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/8 General PQRS/span_Elemento""))",Chrome 120.0.0.0,,,2024-01-15 09:29:11,2024-01-15 09:29:12,"0,780s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 09:29:12,2024-01-15 09:29:14,"2,009s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/8 General PQRS/span_Elemento(1)/span_Agregar Elementos""))",Chrome 120.0.0.0,,,2024-01-15 09:29:14,2024-01-15 09:29:14,"0,423s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:29:14,2024-01-15 09:29:17,"3,017s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/8 General PQRS/span_Elemento(1)/span_Agregar Elementos(1)/servicios/label_6 Peticion""))",Chrome 120.0.0.0,,,2024-01-15 09:29:17,2024-01-15 09:29:18,"0,464s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/8 General PQRS/span_Elemento(1)/span_Agregar Elementos(1)/servicios/label_7 Queja""))",Chrome 120.0.0.0,,,2024-01-15 09:29:18,2024-01-15 09:29:18,"0,415s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/8 General PQRS/span_Elemento(1)/span_Agregar Elementos(1)/servicios/label_8 Reclamo""))",Chrome 120.0.0.0,,,2024-01-15 09:29:18,2024-01-15 09:29:18,"0,416s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/8 General PQRS/span_Elemento(1)/span_Agregar Elementos(1)/servicios/label_11 Solicitud""))",Chrome 120.0.0.0,,,2024-01-15 09:29:18,2024-01-15 09:29:19,"0,382s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:29:19,2024-01-15 09:29:22,"3,023s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/8 General PQRS/span_Elemento(1)/span_Agregar Elementos(1)/btn_Agregar""))",Chrome 120.0.0.0,,,2024-01-15 09:29:22,2024-01-15 09:29:22,"0,454s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:29:22,2024-01-15 09:29:25,"3,018s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/input_cajaBusqueda""), ""PQRS"")",Chrome 120.0.0.0,Buscamos el Servicio PQRS Preferencial,,2024-01-15 09:29:25,2024-01-15 09:29:26,"0,803s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:29:26,2024-01-15 09:29:29,"3,014s",PASSED
"rightClick(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1Preferencial/5 Preferencial PQRS/span_5 PQRS""))",Chrome 120.0.0.0,,,2024-01-15 09:29:29,2024-01-15 09:29:30,"0,545s",PASSED
