Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.6 Relacionar Tableros,Chrome 123.0.0.0,,,2024-04-02 15:32:50,2024-04-02 15:34:52,"2m - 2,048s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/6Tableros/5.6 Relacionar Tableros,Chrome 123.0.0.0,,,2024-04-02 15:32:50,2024-04-02 15:34:52,"2m - 1,815s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-02 15:32:50,2024-04-02 15:33:02,"12,141s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 123.0.0.0,,,2024-04-02 15:33:02,2024-04-02 15:33:03,"0,713s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:33:03,2024-04-02 15:33:06,"3,017s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Tableros""))",Chrome 123.0.0.0,Bogota,,2024-04-02 15:33:06,2024-04-02 15:33:07,"0,801s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:33:07,2024-04-02 15:33:10,"3,018s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/0OficinaModal/td_Bogota - CIEL""))",Chrome 123.0.0.0,,,2024-04-02 15:33:10,2024-04-02 15:33:10,"0,491s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:33:10,2024-04-02 15:33:13,"3,011s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Lista de Tableros/td_Tablero - 1""))",Chrome 123.0.0.0,,,2024-04-02 15:33:13,2024-04-02 15:33:14,"0,501s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:33:14,2024-04-02 15:33:17,"3,015s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/Elementos del nivel/img_Relacionar""), 2)",Chrome 123.0.0.0,,,2024-04-02 15:33:17,2024-04-02 15:33:17,"0,417s",PASSED
"executeJavaScript(""return document.getElementById('ContentPlaceHolder1_TabContainer1_tpEdicion_salasEntes_TablaHerramientas1_aSeleccionarTodo').click()"", [])",Chrome 123.0.0.0,,,2024-04-02 15:33:17,2024-04-02 15:33:17,"0,042s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/Elementos del nivel/img_Relacionar""))",Chrome 123.0.0.0,,,2024-04-02 15:33:17,2024-04-02 15:33:18,"0,449s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:33:18,2024-04-02 15:33:21,"3,010s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Tableros""))",Chrome 123.0.0.0,Cali,,2024-04-02 15:33:21,2024-04-02 15:33:21,"0,634s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:33:21,2024-04-02 15:33:24,"3,004s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/0OficinaModal/td_Cali - Chipichape""))",Chrome 123.0.0.0,,,2024-04-02 15:33:24,2024-04-02 15:33:25,"0,403s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:33:25,2024-04-02 15:33:28,"3,017s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Lista de Tableros/td_Tablero - 1""))",Chrome 123.0.0.0,,,2024-04-02 15:33:28,2024-04-02 15:33:28,"0,453s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:33:28,2024-04-02 15:33:31,"3,014s",PASSED
