Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3 Distraer Turno,Chrome 115.0.0.0,,,2023-08-14 13:59:16,2023-08-14 14:00:05,"49,100s",PASSED
,,,,,,,
Test Cases/DIGITURNO/OPERACION BASICA/3 Distraer Turno,Chrome 115.0.0.0,,,2023-08-14 13:59:16,2023-08-14 14:00:05,"48,821s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 13:59:17,2023-08-14 13:59:28,"11,552s",PASSED
"click(findTestObject(""DIGITURNO/1Principal/img_Operacion(1)""))",Chrome 115.0.0.0,,,2023-08-14 13:59:28,2023-08-14 13:59:29,"0,685s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:59:29,2023-08-14 13:59:32,"3,004s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/0Principal/Elementos del Sistema/img_Terminales""))",Chrome 115.0.0.0,,,2023-08-14 13:59:32,2023-08-14 13:59:32,"0,570s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:59:32,2023-08-14 13:59:35,"3,017s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Oficinas/td_1Bogota - CIEL""))",Chrome 115.0.0.0,Escogemos oficina,,2023-08-14 13:59:35,2023-08-14 13:59:36,"0,486s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:59:36,2023-08-14 13:59:39,"3,017s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Terminales (Menos WorkFlow)/td_1 - Terminal - Informacion""))",Chrome 115.0.0.0,Abrimos Terminal,,2023-08-14 13:59:39,2023-08-14 13:59:39,"0,463s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:59:39,2023-08-14 13:59:42,"3,008s",PASSED
switchToWindowIndex(1),Chrome 115.0.0.0,,,2023-08-14 13:59:42,2023-08-14 13:59:42,"0,049s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 13:59:42,2023-08-14 13:59:45,"2,010s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Llamar""))",Chrome 115.0.0.0,,,2023-08-14 13:59:45,2023-08-14 13:59:45,"0,436s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:59:45,2023-08-14 13:59:48,"3,014s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Distraer""))",Chrome 115.0.0.0,,,2023-08-14 13:59:48,2023-08-14 13:59:49,"1,416s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:59:49,2023-08-14 13:59:52,"3,013s",PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-14 13:59:52,2023-08-14 13:59:53,"0,792s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:59:53,2023-08-14 13:59:56,"3,005s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Cerrar""))",Chrome 115.0.0.0,,,2023-08-14 13:59:56,2023-08-14 13:59:57,"0,895s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:59:57,2023-08-14 14:00:00,"3,003s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Cerrar(1)/btn_4FindeJornada_8""))",Chrome 115.0.0.0,,,2023-08-14 14:00:00,2023-08-14 14:00:02,"2,031s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:00:02,2023-08-14 14:00:05,"3,015s",PASSED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 14:00:05,2023-08-14 14:00:05,"0,000s",PASSED
