Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.3 Crear Grupos Medellin,Chrome 115.0.0.0,,,2023-08-14 11:12:15,2023-08-14 11:13:40,"1m - 25,520s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/3Grupos/5.3 Crear Grupos Medellin,Chrome 115.0.0.0,,,2023-08-14 11:12:15,2023-08-14 11:13:40,"1m - 25,247s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 11:12:15,2023-08-14 11:12:27,"11,324s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 115.0.0.0,,,2023-08-14 11:12:27,2023-08-14 11:12:29,"1,995s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:12:29,2023-08-14 11:12:32,"3,002s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Grupos""))",Chrome 115.0.0.0,,,2023-08-14 11:12:32,2023-08-14 11:12:32,"0,745s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:12:32,2023-08-14 11:12:35,"3,005s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala""))",Chrome 115.0.0.0,Se escoge sala Medellin - Sala General,,2023-08-14 11:12:35,2023-08-14 11:12:36,"0,415s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:12:36,2023-08-14 11:12:39,"3,018s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala(1)/a_5Medellin - Sala General""))",Chrome 115.0.0.0,,,2023-08-14 11:12:39,2023-08-14 11:12:39,"0,481s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:12:39,2023-08-14 11:12:42,"3,002s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/input_Nombre""), ""Grupo Información"")",Chrome 115.0.0.0,,,2023-08-14 11:12:42,2023-08-14 11:12:43,"0,826s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/textarea_Descripcion""), ""Medellin - Grupo Información"")",Chrome 115.0.0.0,,,2023-08-14 11:12:43,2023-08-14 11:12:44,"0,756s",PASSED
"scrollToPosition(0, 800)",Chrome 115.0.0.0,,,2023-08-14 11:12:44,2023-08-14 11:12:44,"0,040s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/select_Nivel de visualizacion en Transferencias""), ""Área"", false)",Chrome 115.0.0.0,,,2023-08-14 11:12:44,2023-08-14 11:12:45,"0,794s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 11:12:45,2023-08-14 11:12:47,"2,005s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/select_Nivel de visualizacion en Nuevo Servicio""), ""Área"", false)",Chrome 115.0.0.0,,,2023-08-14 11:12:47,2023-08-14 11:12:47,"0,775s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 11:12:47,2023-08-14 11:12:49,"2,014s",PASSED
"scrollToPosition(0, 0)",Chrome 115.0.0.0,,,2023-08-14 11:12:49,2023-08-14 11:12:49,"0,025s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/img_Nuevo""))",Chrome 115.0.0.0,,,2023-08-14 11:12:49,2023-08-14 11:12:50,"0,454s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:12:50,2023-08-14 11:12:53,"3,012s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Grupos""))",Chrome 115.0.0.0,Para crear Grupo PQRS,,2023-08-14 11:12:53,2023-08-14 11:12:54,"1,004s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:12:54,2023-08-14 11:12:57,"3,012s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala""))",Chrome 115.0.0.0,Se escoge sala Medellin - Sala General,,2023-08-14 11:12:57,2023-08-14 11:12:57,"0,461s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:12:57,2023-08-14 11:13:00,"3,007s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala(1)/a_5Medellin - Sala General""))",Chrome 115.0.0.0,,,2023-08-14 11:13:00,2023-08-14 11:13:01,"0,438s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:13:01,2023-08-14 11:13:04,"3,014s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/input_Nombre""), ""Grupo PQRS"")",Chrome 115.0.0.0,,,2023-08-14 11:13:04,2023-08-14 11:13:05,"0,774s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/textarea_Descripcion""), ""Medellin - PQRS"")",Chrome 115.0.0.0,,,2023-08-14 11:13:05,2023-08-14 11:13:05,"0,797s",PASSED
"scrollToPosition(0, 800)",Chrome 115.0.0.0,,,2023-08-14 11:13:05,2023-08-14 11:13:05,"0,019s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/select_Nivel de visualizacion en Transferencias""), ""Área"", false)",Chrome 115.0.0.0,,,2023-08-14 11:13:05,2023-08-14 11:13:06,"0,757s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 11:13:06,2023-08-14 11:13:08,"2,014s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/select_Nivel de visualizacion en Nuevo Servicio""), ""Área"", false)",Chrome 115.0.0.0,,,2023-08-14 11:13:08,2023-08-14 11:13:09,"0,791s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 11:13:09,2023-08-14 11:13:11,"2,003s",PASSED
"scrollToPosition(0, 0)",Chrome 115.0.0.0,,,2023-08-14 11:13:11,2023-08-14 11:13:11,"0,023s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/img_Nuevo""))",Chrome 115.0.0.0,,,2023-08-14 11:13:11,2023-08-14 11:13:11,"0,430s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:13:11,2023-08-14 11:13:14,"3,010s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Grupos""))",Chrome 115.0.0.0,Grupo Radicaciones,,2023-08-14 11:13:14,2023-08-14 11:13:16,"1,155s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:13:16,2023-08-14 11:13:19,"3,005s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala""))",Chrome 115.0.0.0,Se escoge sala Medellin - Sala General,,2023-08-14 11:13:19,2023-08-14 11:13:19,"0,450s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:13:19,2023-08-14 11:13:22,"3,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala(1)/a_5Medellin - Sala General""))",Chrome 115.0.0.0,,,2023-08-14 11:13:22,2023-08-14 11:13:22,"0,392s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:13:22,2023-08-14 11:13:25,"3,007s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/input_Nombre""), ""Grupo Radicaciones"")",Chrome 115.0.0.0,,,2023-08-14 11:13:25,2023-08-14 11:13:26,"0,819s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/textarea_Descripcion""), ""Medellin - Radicaciones"")",Chrome 115.0.0.0,,,2023-08-14 11:13:26,2023-08-14 11:13:27,"0,771s",PASSED
"scrollToPosition(0, 800)",Chrome 115.0.0.0,,,2023-08-14 11:13:27,2023-08-14 11:13:27,"0,035s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/select_Nivel de visualizacion en Transferencias""), ""Área"", false)",Chrome 115.0.0.0,,,2023-08-14 11:13:27,2023-08-14 11:13:28,"0,729s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 11:13:28,2023-08-14 11:13:30,"2,008s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/select_Nivel de visualizacion en Nuevo Servicio""), ""Área"", false)",Chrome 115.0.0.0,,,2023-08-14 11:13:30,2023-08-14 11:13:31,"0,790s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 11:13:31,2023-08-14 11:13:33,"2,001s",PASSED
"scrollToPosition(0, 0)",Chrome 115.0.0.0,,,2023-08-14 11:13:33,2023-08-14 11:13:33,"0,031s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/img_Nuevo""))",Chrome 115.0.0.0,,,2023-08-14 11:13:33,2023-08-14 11:13:33,"0,410s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:13:33,2023-08-14 11:13:36,"3,006s",PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-14 11:13:36,2023-08-14 11:13:37,"0,993s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:13:37,2023-08-14 11:13:40,"3,009s",PASSED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 11:13:40,2023-08-14 11:13:40,"0,016s",PASSED
