Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5 Reclasificacion Turno,Chrome 114.0.0.0,,,2023-07-11 12:53:12,2023-07-11 12:54:19,"1m - 7,020s",PASSED
,,,,,,,
Test Cases/DIGITURNO/OPERACION BASICA/5 Reclasificación Turno,Chrome 114.0.0.0,,,2023-07-11 12:53:12,2023-07-11 12:54:19,"1m - 6,801s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 12:53:13,2023-07-11 12:53:24,"11,620s",PASSED
"click(findTestObject(""DIGITURNO/1Principal/img_Operacion(1)""))",Chrome 114.0.0.0,,,2023-07-11 12:53:24,2023-07-11 12:53:25,"0,774s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:53:25,2023-07-11 12:53:28,"3,010s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/0Principal/Elementos del Sistema/img_Terminales""))",Chrome 114.0.0.0,,,2023-07-11 12:53:28,2023-07-11 12:53:29,"0,586s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:53:29,2023-07-11 12:53:32,"3,010s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Oficinas/td_1Bogota - CIEL""))",Chrome 114.0.0.0,Escogemos oficina,,2023-07-11 12:53:32,2023-07-11 12:53:32,"0,439s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:53:32,2023-07-11 12:53:35,"3,002s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Terminales (Menos WorkFlow)/td_1 - Terminal - Informacion""))",Chrome 114.0.0.0,Abrimos Terminal,,2023-07-11 12:53:35,2023-07-11 12:53:36,"0,451s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:53:36,2023-07-11 12:53:39,"3,017s",PASSED
switchToWindowIndex(1),Chrome 114.0.0.0,,,2023-07-11 12:53:39,2023-07-11 12:53:39,"0,051s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:53:39,2023-07-11 12:53:41,"2,009s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Llamar""))",Chrome 114.0.0.0,,,2023-07-11 12:53:41,2023-07-11 12:53:41,"0,447s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:53:41,2023-07-11 12:53:44,"3,013s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Ocupado""))",Chrome 114.0.0.0,,,2023-07-11 12:53:44,2023-07-11 12:53:47,"3,242s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:53:47,2023-07-11 12:53:50,"3,010s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Ocupado(1)/a_1Actualizacion de Datos""))",Chrome 114.0.0.0,,,2023-07-11 12:53:50,2023-07-11 12:53:52,"1,737s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:53:52,2023-07-11 12:53:55,"3,004s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Reclasificar""))",Chrome 114.0.0.0,,,2023-07-11 12:53:55,2023-07-11 12:53:56,"1,011s",PASSED
delay(3),Chrome 114.0.0.0,Reclasificar el turno,,2023-07-11 12:53:56,2023-07-11 12:53:59,"3,016s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Reclasificar(1)/a_2PQRS - General""))",Chrome 114.0.0.0,,,2023-07-11 12:53:59,2023-07-11 12:54:00,"1,001s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:54:00,2023-07-11 12:54:03,"3,011s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Reclasificar(2)/a_2Facturacion""))",Chrome 114.0.0.0,,,2023-07-11 12:54:03,2023-07-11 12:54:04,"0,980s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:54:04,2023-07-11 12:54:07,"3,018s",PASSED
takeFullPageScreenshot(),Chrome 114.0.0.0,,,2023-07-11 12:54:07,2023-07-11 12:54:08,"0,882s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:54:08,2023-07-11 12:54:11,"3,004s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Cerrar""))",Chrome 114.0.0.0,,,2023-07-11 12:54:11,2023-07-11 12:54:12,"1,112s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:54:12,2023-07-11 12:54:15,"3,018s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Cerrar(1)/btn_4FindeJornada_8""))",Chrome 114.0.0.0,,,2023-07-11 12:54:15,2023-07-11 12:54:16,"0,989s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:54:16,2023-07-11 12:54:19,"3,016s",PASSED
Start listener action : sampleAfterTestCase,Chrome 114.0.0.0,,,2023-07-11 12:54:19,2023-07-11 12:54:19,"0,010s",PASSED
